Atlas Name	Atlas ID	Lead Institution	Atlas Description	Publications	Metadata	Cases	Biospecimens	Assays	Files						
HTAPP	HTA1	Broad Institute, Dana-Farber Cancer Institute, Harvard Medical School	Human Tumor Atlas Pilot Project (HTAPP)		HTA1	201	1105			HTA1	HTA1	HTA1	HTA1	HTA1	HTA1
Stanford	HTA10	Stanford University	Multi-omic Characterization of Transformation of Familial Adenomatous Polyposis		HTA10	40	303			HTA10	HTA10	HTA10	HTA10	HTA10	HTA10
Vanderbilt	HTA11	Vanderbilt University	Colon Molecular Atlas Project		HTA11	192	429			HTA11	HTA11	HTA11	HTA11	HTA11	HTA11
WUSTL	HTA12	Washington University	Washington University Human Tumor Atlas Research Center		HTA12	286	1039			HTA12	HTA12	HTA12	HTA12	HTA12	HTA12
BU	HTA3	Boston University, University of California, Los Angeles (UCLA)	The Lung Pre-Cancer Atlas		HTA3	203	2290			HTA3	HTA3	HTA3	HTA3	HTA3	HTA3
CHOP	HTA4	Children’s Hospital of Philadelphia	Center for Pediatric Tumor Cell Atlas		HTA4	69	200			HTA4	HTA4	HTA4	HTA4	HTA4	HTA4
DFCI	HTA5	Dana-Farber Cancer Institute, Broad Institute	The Cellular Geography of Therapeutic Resistance in Cancer		HTA5	133	520			HTA5	HTA5	HTA5	HTA5	HTA5	HTA5
Duke	HTA6	Duke University	Breast Pre-Cancer Atlas		HTA6	828	1438			HTA6	HTA6	HTA6	HTA6	HTA6	HTA6
MSK	HTA8	Memorial Sloan Kettering Cancer Center	Transition to Metastatic State: Lung Cancer, Pancreatic Cancer and Brain Metastasis		HTA8	158	400			HTA8	HTA8	HTA8	HTA8	HTA8	HTA8
OHSU	HTA9	Oregon Health & Science University (OHSU)	Omic and Multidimensional Spatial Atlas of Metastatic Breast Cancers		HTA9	33	504			HTA9	HTA9	HTA9	HTA9	HTA9	HTA9
