Filename	Atlas Name	Publications	Biospecimen	Assay	Level	Organ	Treatment	Diagnosis	Data Access	Synapse Id	Atlasid	File Format	Data File ID	Parent Data File ID	Primary Diagnosis	Sc RN Aseq Workflow Type	Sc RN Aseq Workflow Parameters Description	Workflow Version	Workflow Link	Release Version	Metadata	View
single_cell_RNAseq_level_3_breast/HTAPP-211-SMP-6751_TST_channel1_barcodes.tsv.gz	HTAN HTAPP		HTA1_211_6751320	scRNA-seq	Level 3	Breast NOS		Intraductal carcinoma NOS	Synapse	syn24245844	HTA1	tsv	HTA1_211_67513201011	HTA1_211_6751320101		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-211-SMP-6751_TST_channel1_features.tsv.gz	HTAN HTAPP		HTA1_211_6751320	scRNA-seq	Level 3	Breast NOS		Intraductal carcinoma NOS	Synapse	syn24245846	HTA1	tsv	HTA1_211_67513201012	HTA1_211_6751320101		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-211-SMP-6751_TST_channel1_matrix.mtx.gz	HTAN HTAPP		HTA1_211_6751320	scRNA-seq	Level 3	Breast NOS		Intraductal carcinoma NOS	Synapse	syn24245848	HTA1	mtx	HTA1_211_67513201013	HTA1_211_6751320101		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-211-SMP-6751_TST_channel2_barcodes.tsv.gz	HTAN HTAPP		HTA1_211_6751320	scRNA-seq	Level 3	Breast NOS		Intraductal carcinoma NOS	Synapse	syn24245849	HTA1	tsv	HTA1_211_67513203011	HTA1_211_6751320301		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-211-SMP-6751_TST_channel2_features.tsv.gz	HTAN HTAPP		HTA1_211_6751320	scRNA-seq	Level 3	Breast NOS		Intraductal carcinoma NOS	Synapse	syn24245851	HTA1	tsv	HTA1_211_67513203012	HTA1_211_6751320301		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-211-SMP-6751_TST_channel2_matrix.mtx.gz	HTAN HTAPP		HTA1_211_6751320	scRNA-seq	Level 3	Breast NOS		Intraductal carcinoma NOS	Synapse	syn24245852	HTA1	mtx	HTA1_211_67513203013	HTA1_211_6751320301		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-213-SMP-6752_TST_channel1_barcodes.tsv.gz	HTAN HTAPP		HTA1_213_6752601	scRNA-seq	Level 3	Breast NOS		Ductal carcinoma NOS	Synapse	syn24245854	HTA1	tsv	HTA1_213_67526011011	HTA1_213_6752601101		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-213-SMP-6752_TST_channel1_features.tsv.gz	HTAN HTAPP		HTA1_213_6752601	scRNA-seq	Level 3	Breast NOS		Ductal carcinoma NOS	Synapse	syn24245856	HTA1	tsv	HTA1_213_67526011012	HTA1_213_6752601101		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-213-SMP-6752_TST_channel1_matrix.mtx.gz	HTAN HTAPP		HTA1_213_6752601	scRNA-seq	Level 3	Breast NOS		Ductal carcinoma NOS	Synapse	syn24245858	HTA1	mtx	HTA1_213_67526011013	HTA1_213_6752601101		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
single_cell_RNAseq_level_3_breast/HTAPP-213-SMP-6752_TST_channel2_barcodes.tsv.gz	HTAN HTAPP		HTA1_213_6752601	scRNA-seq	Level 3	Breast NOS		Ductal carcinoma NOS	Synapse	syn24245861	HTA1	tsv	HTA1_213_67526013011	HTA1_213_6752601301		CellRanger	scCloud cellranger_workflow with default settings, CellRanger 3	18	https://portal.firecloud.org/?return=terra#methods/scCloud/cellranger_workflow/18	Release 3.0	Details	
