Filename	Atlas Name	Publications	Biospecimen	Assay	Level	Organ	Treatment	Diagnosis	Data Access	Synapse Id	Atlasid	File Format	Data File ID	Parent Data File ID	Primary Diagnosis	Sc RN Aseq Workflow Type	Sc RN Aseq Workflow Parameters Description	Workflow Version	Workflow Link	Release Version	Metadata	View
glasner_etal_single_cell_RNAseq_level_4/myeloid_schpf_geneScores.csv	HTAN MSK		HTA8_1005_3, HTA8_1028_1, HTA8_1029_1, HTA8_1030_1, HTA8_1031_1, HTA8_1032_1, HTA8_1033_1, HTA8_1034_1, HTA8_1035_1, HTA8_1036_1, HTA8_1037_1	scRNA-seq	Level 4	Lung NOS, Pleura NOS, Lymph node NOS	Radiation external beam, Immunotherapy (including vaccines), Chemotherapy, Osimertinib+docetaxel+ramucirumab, Surgery	Adenocarcinoma NOS	Synapse	syn49693589	HTA8	csv	HTA8_4_100277	HTA8_1005_330001,HTA8_1028_310001,HTA8_1029_310001,HTA8_1030_310001,HTA8_1031_310001,HTA8_1032_310001,HTA8_1033_310001,HTA8_1034_310001,HTA8_1035_310001,HTA8_1036_310001,HTA8_1037_310001		SEQC	scHPF was run with default hyperparameters and 10 random initializations in the endothelial, fibroblast and myeloid lineages, using raw UMI counts for genes expressed in at least 1% of cells within the lineage. This left 12,533 genes in the endothelial lineage, 13,216 genes in the fibroblast lineage and 12,253 genes in the myeloid lineage for factor analysis. To select the number of factors for downstream analysis, scHPF was first run with two more factors than the number of PhenoGraph clusters within the lineage, then subsequently increased 8 times by steps of one, for a total of 9 separate factorizations (i.e. k = [17,18,19…25]). To achieve consistent granularity across lineages, we chose the factorization in which ~90% of the variance in a cells’ expression (on average) was explained by the top 7 factors, given by 22 factors for endothelial and fibroblasts lineages and 27 factors for myeloid lineage cells.	scHPF 0.5.0	https://schpf.readthedocs.io/en/latest/index.html	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_4/myeloid_schpf_cellScores.csv	HTAN MSK		HTA8_1005_3, HTA8_1028_1, HTA8_1029_1, HTA8_1030_1, HTA8_1031_1, HTA8_1032_1, HTA8_1033_1, HTA8_1034_1, HTA8_1035_1, HTA8_1036_1, HTA8_1037_1	scRNA-seq	Level 4	Lung NOS, Pleura NOS, Lymph node NOS	Radiation external beam, Immunotherapy (including vaccines), Chemotherapy, Osimertinib+docetaxel+ramucirumab, Surgery	Adenocarcinoma NOS	Synapse	syn49693591	HTA8	csv	HTA8_4_100276	HTA8_1005_330001,HTA8_1028_310001,HTA8_1029_310001,HTA8_1030_310001,HTA8_1031_310001,HTA8_1032_310001,HTA8_1033_310001,HTA8_1034_310001,HTA8_1035_310001,HTA8_1036_310001,HTA8_1037_310001		SEQC	scHPF was run with default hyperparameters and 10 random initializations in the endothelial, fibroblast and myeloid lineages, using raw UMI counts for genes expressed in at least 1% of cells within the lineage. This left 12,533 genes in the endothelial lineage, 13,216 genes in the fibroblast lineage and 12,253 genes in the myeloid lineage for factor analysis. To select the number of factors for downstream analysis, scHPF was first run with two more factors than the number of PhenoGraph clusters within the lineage, then subsequently increased 8 times by steps of one, for a total of 9 separate factorizations (i.e. k = [17,18,19…25]). To achieve consistent granularity across lineages, we chose the factorization in which ~90% of the variance in a cells’ expression (on average) was explained by the top 7 factors, given by 22 factors for endothelial and fibroblasts lineages and 27 factors for myeloid lineage cells.	scHPF 0.5.0	https://schpf.readthedocs.io/en/latest/index.html	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_4/fib_schpf_cellScores.csv	HTAN MSK		HTA8_1005_3, HTA8_1028_1, HTA8_1029_1, HTA8_1030_1, HTA8_1031_1, HTA8_1032_1, HTA8_1033_1, HTA8_1034_1, HTA8_1035_1, HTA8_1036_1, HTA8_1037_1	scRNA-seq	Level 4	Lung NOS, Pleura NOS, Lymph node NOS	Radiation external beam, Immunotherapy (including vaccines), Chemotherapy, Osimertinib+docetaxel+ramucirumab, Surgery	Adenocarcinoma NOS	Synapse	syn49693592	HTA8	csv	HTA8_4_100273	HTA8_1005_330001,HTA8_1028_310001,HTA8_1029_310001,HTA8_1030_310001,HTA8_1031_310001,HTA8_1032_310001,HTA8_1033_310001,HTA8_1034_310001,HTA8_1035_310001,HTA8_1036_310001,HTA8_1037_310001		SEQC	scHPF was run with default hyperparameters and 10 random initializations in the endothelial, fibroblast and myeloid lineages, using raw UMI counts for genes expressed in at least 1% of cells within the lineage. This left 12,533 genes in the endothelial lineage, 13,216 genes in the fibroblast lineage and 12,253 genes in the myeloid lineage for factor analysis. To select the number of factors for downstream analysis, scHPF was first run with two more factors than the number of PhenoGraph clusters within the lineage, then subsequently increased 8 times by steps of one, for a total of 9 separate factorizations (i.e. k = [17,18,19…25]). To achieve consistent granularity across lineages, we chose the factorization in which ~90% of the variance in a cells’ expression (on average) was explained by the top 7 factors, given by 22 factors for endothelial and fibroblasts lineages and 27 factors for myeloid lineage cells.	scHPF 0.5.0	https://schpf.readthedocs.io/en/latest/index.html	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_4/endo_schpf_geneScores.csv	HTAN MSK		HTA8_1005_3, HTA8_1028_1, HTA8_1029_1, HTA8_1030_1, HTA8_1031_1, HTA8_1032_1, HTA8_1033_1, HTA8_1034_1, HTA8_1035_1, HTA8_1036_1, HTA8_1037_1	scRNA-seq	Level 4	Lung NOS, Pleura NOS, Lymph node NOS	Radiation external beam, Immunotherapy (including vaccines), Chemotherapy, Osimertinib+docetaxel+ramucirumab, Surgery	Adenocarcinoma NOS	Synapse	syn49693634	HTA8	csv	HTA8_4_100272	HTA8_1005_330001,HTA8_1028_310001,HTA8_1029_310001,HTA8_1030_310001,HTA8_1031_310001,HTA8_1032_310001,HTA8_1033_310001,HTA8_1034_310001,HTA8_1035_310001,HTA8_1036_310001,HTA8_1037_310001		SEQC	scHPF was run with default hyperparameters and 10 random initializations in the endothelial, fibroblast and myeloid lineages, using raw UMI counts for genes expressed in at least 1% of cells within the lineage. This left 12,533 genes in the endothelial lineage, 13,216 genes in the fibroblast lineage and 12,253 genes in the myeloid lineage for factor analysis. To select the number of factors for downstream analysis, scHPF was first run with two more factors than the number of PhenoGraph clusters within the lineage, then subsequently increased 8 times by steps of one, for a total of 9 separate factorizations (i.e. k = [17,18,19…25]). To achieve consistent granularity across lineages, we chose the factorization in which ~90% of the variance in a cells’ expression (on average) was explained by the top 7 factors, given by 22 factors for endothelial and fibroblasts lineages and 27 factors for myeloid lineage cells.	scHPF 0.5.0	https://schpf.readthedocs.io/en/latest/index.html	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_4/fib_schpf_geneScores.csv	HTAN MSK		HTA8_1005_3, HTA8_1028_1, HTA8_1029_1, HTA8_1030_1, HTA8_1031_1, HTA8_1032_1, HTA8_1033_1, HTA8_1034_1, HTA8_1035_1, HTA8_1036_1, HTA8_1037_1	scRNA-seq	Level 4	Lung NOS, Pleura NOS, Lymph node NOS	Radiation external beam, Immunotherapy (including vaccines), Chemotherapy, Osimertinib+docetaxel+ramucirumab, Surgery	Adenocarcinoma NOS	Synapse	syn49693635	HTA8	csv	HTA8_4_100274	HTA8_1005_330001,HTA8_1028_310001,HTA8_1029_310001,HTA8_1030_310001,HTA8_1031_310001,HTA8_1032_310001,HTA8_1033_310001,HTA8_1034_310001,HTA8_1035_310001,HTA8_1036_310001,HTA8_1037_310001		SEQC	scHPF was run with default hyperparameters and 10 random initializations in the endothelial, fibroblast and myeloid lineages, using raw UMI counts for genes expressed in at least 1% of cells within the lineage. This left 12,533 genes in the endothelial lineage, 13,216 genes in the fibroblast lineage and 12,253 genes in the myeloid lineage for factor analysis. To select the number of factors for downstream analysis, scHPF was first run with two more factors than the number of PhenoGraph clusters within the lineage, then subsequently increased 8 times by steps of one, for a total of 9 separate factorizations (i.e. k = [17,18,19…25]). To achieve consistent granularity across lineages, we chose the factorization in which ~90% of the variance in a cells’ expression (on average) was explained by the top 7 factors, given by 22 factors for endothelial and fibroblasts lineages and 27 factors for myeloid lineage cells.	scHPF 0.5.0	https://schpf.readthedocs.io/en/latest/index.html	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_4/endo_schpf_cellScores.csv	HTAN MSK		HTA8_1005_3, HTA8_1028_1, HTA8_1029_1, HTA8_1030_1, HTA8_1031_1, HTA8_1032_1, HTA8_1033_1, HTA8_1034_1, HTA8_1035_1, HTA8_1036_1, HTA8_1037_1	scRNA-seq	Level 4	Lung NOS, Pleura NOS, Lymph node NOS	Radiation external beam, Immunotherapy (including vaccines), Chemotherapy, Osimertinib+docetaxel+ramucirumab, Surgery	Adenocarcinoma NOS	Synapse	syn49693638	HTA8	csv	HTA8_4_100271	HTA8_1005_330001,HTA8_1028_310001,HTA8_1029_310001,HTA8_1030_310001,HTA8_1031_310001,HTA8_1032_310001,HTA8_1033_310001,HTA8_1034_310001,HTA8_1035_310001,HTA8_1036_310001,HTA8_1037_310001		SEQC	scHPF was run with default hyperparameters and 10 random initializations in the endothelial, fibroblast and myeloid lineages, using raw UMI counts for genes expressed in at least 1% of cells within the lineage. This left 12,533 genes in the endothelial lineage, 13,216 genes in the fibroblast lineage and 12,253 genes in the myeloid lineage for factor analysis. To select the number of factors for downstream analysis, scHPF was first run with two more factors than the number of PhenoGraph clusters within the lineage, then subsequently increased 8 times by steps of one, for a total of 9 separate factorizations (i.e. k = [17,18,19…25]). To achieve consistent granularity across lineages, we chose the factorization in which ~90% of the variance in a cells’ expression (on average) was explained by the top 7 factors, given by 22 factors for endothelial and fibroblasts lineages and 27 factors for myeloid lineage cells.	scHPF 0.5.0	https://schpf.readthedocs.io/en/latest/index.html	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_3/HTA8_1005_3_raw_counts.csv	HTAN MSK		HTA8_1005_3	scRNA-seq	Level 3	Lung NOS	Radiation external beam	Adenocarcinoma NOS	Synapse	syn50908449	HTA8	csv	HTA8_1005_330001	HTA8_1005_230001		SEQC	raw unfiltered count matrices from SEQC are provided	0.2.7	https://github.com/dpeerlab/seqc	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_3/HTA8_1028_1_raw_counts.csv	HTAN MSK		HTA8_1028_1	scRNA-seq	Level 3	Lung NOS	Immunotherapy (including vaccines)	Adenocarcinoma NOS	Synapse	syn50908450	HTA8	csv	HTA8_1028_310001	HTA8_1028_210001		SEQC	raw unfiltered count matrices from SEQC are provided	0.2.7	https://github.com/dpeerlab/seqc	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_3/HTA8_1029_1_raw_counts.csv	HTAN MSK		HTA8_1029_1	scRNA-seq	Level 3	Lung NOS	Chemotherapy	Adenocarcinoma NOS	Synapse	syn50908451	HTA8	csv	HTA8_1029_310001	HTA8_1029_210001		SEQC	raw unfiltered count matrices from SEQC are provided	0.2.7	https://github.com/dpeerlab/seqc	Release 3.0	Details	
glasner_etal_single_cell_RNAseq_level_3/HTA8_1030_1_raw_counts.csv	HTAN MSK		HTA8_1030_1	scRNA-seq	Level 3	Lung NOS	Chemotherapy	Adenocarcinoma NOS	Synapse	syn50908452	HTA8	csv	HTA8_1030_310001	HTA8_1030_210001		SEQC	raw unfiltered count matrices from SEQC are provided	0.2.7	https://github.com/dpeerlab/seqc	Release 3.0	Details	
