Title	Atlas	Authors	Journal	Publication Date	DOI	PubMed	Cited by	Cases	Biospecimens	Assays	UCSC Cell Browser	Content Type
A longitudinal single-cell and spatial multiomic atlas of pediatric high-grade glioma	Center for Pediatric Tumor Cell Atlas	Sussman JH, Oldridge DA, Yu W, Chen CH, et al.	Cell Reports Medicine	2026 Apr	10.1016/j.xcrm.2026.102766	42030938	1	9	26	1	https://cells.ucsc.edu/?ds=htan-chop+sussman	Published manuscript
Transcriptomic Plasticity Is a Hallmark of Metastatic Pancreatic Cancer	Transition to Metastatic State: Lung Cancer, Pancreatic Cancer and Brain Metastasis	Jiménez-Sánchez A, Persad S, Hayashi A, Umeda S, et al.	Cancer Research	2026 Apr	10.1158/0008-5472.CAN-25-1117	41379552	0	2	54	1		Published manuscript
Single-Cell Expression Analysis of Ductal Carcinoma In Situ Identifies Complex Genotypic-Phenotypic Relationships Altering Epithelial Composition	Breast Pre-Cancer Atlas	Qin X, Strand SH, Lee MR, Saraswathibhatla A, et al.	Cancer Research	2025 Jun	10.1158/0008-5472.CAN-24-3023	40101158	4	16	30	1		Published manuscript
Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring	Center for Pediatric Tumor Cell Atlas	Yu W, Biyik-Sit R, Uzun Y, Chen CH, et al.	Nature Genetics	2025 May	10.1038/s41588-025-02158-6	40229600	12	23	91	1		Published manuscript
Progressive plasticity during colorectal cancer metastasis	Transition to Metastatic State: Lung Cancer, Pancreatic Cancer and Brain Metastasis	Moorman A, Benitez EK, Cambulli F, Jiang Q, et al.	Nature	2025 Jan	10.1038/s41586-024-08150-0	39478232	66	29	83	1		Published manuscript
Identification and Characterization of Chemotherapy-Resistant High-Risk Neuroblastoma Persister Cells	Center for Pediatric Tumor Cell Atlas	Grossmann LD, Chen CH, Uzun Y, Thadi A, et al.	Cancer Discovery	2024 Dec	10.1158/2159-8290.CD-24-0046	39083807	16	20	77	1		Published manuscript
Global loss of promoter-enhancer connectivity and rebalancing of gene expression during early colorectal cancer carcinogenesis	Multi-omic Characterization of Transformation of Familial Adenomatous Polyposis	Zhu Y, Lee H, White S, Weimer AK, et al.	Nature Cancer	2024 Nov	10.1038/s43018-024-00823-z	39478119	11	5	28	1		Published manuscript
Differential chromatin accessibility and transcriptional dynamics define breast cancer subtypes and their lineages	Washington University Human Tumor Atlas Research Center	Iglesia MD, Jayasinghe RG, Chen S, Terekhanova NV, et al.	Nature Cancer	2024 Nov	10.1038/s43018-024-00773-6	39478117	9	39	58	1		Published manuscript
A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features	Human Tumor Atlas Pilot Project (HTAPP)	Klughammer J, Abravanel DL, Segerstolpe Å, Blosser TR, et al.	Nature Medicine	2024 Nov	10.1038/s41591-024-03215-z	39478111	23	60	72	1		Published manuscript
Temporal recording of mammalian development and precancer	Colon Molecular Atlas Project	Islam M, Yang Y, Simmons AJ, Shah VM, et al.	Nature	2024 Oct	10.1038/s41586-024-07954-4	39478207	15	116	220	1		Published manuscript
